date,top1,top10,top50,bottom
01-Jan-00,12.54,14.43,13.81,1.44
01-Apr-00,12.19,14.46,13.95,1.42
01-Jul-00,12.34,14.64,14.32,1.41
01-Oct-00,11.82,14.62,14.37,1.42
01-Jan-01,11.39,14.67,14.71,1.41
01-Apr-01,11.72,15.2,15,1.43
01-Jul-01,10.97,14.91,15.13,1.33
01-Oct-01,11.72,15.36,15.37,1.44
01-Jan-02,11.91,15.61,15.61,1.4
01-Apr-02,11.43,15.71,15.45,1.37
01-Jul-02,10.72,15.43,15.36,1.4
01-Oct-02,11.23,15.73,15.73,1.37
01-Jan-03,11.18,15.92,15.79,1.36
01-Apr-03,12.12,16.51,16.18,1.28
01-Jul-03,12.47,16.79,16.56,1.17
01-Oct-03,13.24,17.46,16.89,1.32
01-Jan-04,14.27,18.35,17.54,1.24
01-Apr-04,14.42,18.55,17.96,1.17
01-Jul-04,14.75,19.12,18.18,1.3
01-Oct-04,15.67,19.81,18.9,1.24
01-Jan-05,15.75,20.42,18.99,1.35
01-Apr-05,16.22,21.12,19.24,1.45
01-Jul-05,16.73,21.74,19.67,1.46
01-Oct-05,17.2,22.25,20.25,1.41
01-Jan-06,18.01,23.17,20.14,1.46
01-Apr-06,17.81,23.34,20.22,1.36
01-Jul-06,18.28,23.65,20.53,1.3
01-Oct-06,18.93,24.06,20.76,1.37
01-Jan-07,19.33,24.75,20.63,1.41
01-Apr-07,19.53,24.97,20.57,1.39
01-Jul-07,19.92,25.27,20.69,1.26
01-Oct-07,19.72,25.04,20.5,1.22
01-Jan-08,18.86,24.75,19.86,1.18
01-Apr-08,18.22,24.44,19.79,0.85
01-Jul-08,17.27,23.93,19.2,0.66
01-Oct-08,15.61,23.11,18.69,0.72
01-Jan-09,14.67,23.34,17.94,0.94
01-Apr-09,15.37,23.31,18.32,0.71
01-Jul-09,16.33,23.99,18.52,0.53
01-Oct-09,16.87,23.41,18.85,0.51
01-Jan-10,17.22,24.27,18.95,0.39
01-Apr-10,16.88,24.18,18.93,0.22
01-Jul-10,17.85,24.76,19.19,0.35
01-Oct-10,18.4,24.62,19.5,0.46
01-Jan-11,18.86,25.25,19.71,0.28
01-Apr-11,19.08,25.39,19.86,0.21
01-Jul-11,17.87,25.16,19.64,0.27
01-Oct-11,18.52,25.23,19.98,0.41
01-Jan-12,19.38,26.09,20.24,0.38
01-Apr-12,19.19,26.29,20.34,0.28
01-Jul-12,20.06,26.75,20.77,0.43
01-Oct-12,20.35,26.96,21.2,0.39
01-Jan-13,21.52,27.96,21.59,0.62
01-Apr-13,21.64,28.53,21.92,0.65
01-Jul-13,22.63,29,22.79,0.66
01-Oct-13,23.58,29.47,23.4,0.69
01-Jan-14,24.24,30.28,23.61,0.71
01-Apr-14,25.02,30.78,23.97,0.79
01-Jul-14,24.97,31.16,24.01,0.81
01-Oct-14,25.94,31.53,24.39,0.83
01-Jan-15,26.58,32.3,24.65,0.91
01-Apr-15,26.62,32.64,24.72,0.97
01-Jul-15,25.87,32.53,24.69,0.93
01-Oct-15,26.73,32.61,25.29,0.92
01-Jan-16,27.02,33.3,25.43,1
01-Apr-16,27.43,34.03,25.53,1.12
01-Jul-16,28.17,34.53,25.98,1.13
01-Oct-16,28.6,34.35,26.45,1.07
01-Jan-17,29.57,35.21,27.08,1.07
01-Apr-17,30.12,35.73,27.45,1.2
01-Jul-17,30.87,36.29,27.98,1.22
01-Oct-17,32.15,36.88,28.7,1.18
01-Jan-18,32.11,37.4,28.9,1.27
01-Apr-18,32.56,37.92,29.26,1.37
01-Jul-18,33.41,38.63,29.69,1.39
01-Oct-18,31.32,37.6,29.51,1.27
01-Jan-19,33.83,39.21,30.53,1.36
01-Apr-19,34.54,39.82,30.85,1.5
01-Jul-19,34.85,40.15,31.14,1.53
01-Oct-19,36.23,41.18,31.78,1.56
01-Jan-20,32.55,39.16,31.09,1.5
